antecedent,consequent,support,confidence
{4 14 18 30},{34},0.1,1.0
{14 18 30 34},{4},0.216,0.464
{4 18 30 34},{14},0.1,1.0
{4 14 30 34},{18},0.1,1.0
{4 14 18 34},{30},0.158,0.633
{14 18 30},{4 34},0.31,0.323
{4 18 30},{14 34},0.1,1.0
{4 14 30},{18 34},0.1,1.0
{4 14 18},{30 34},0.158,0.633
{18 30 34},{4 14},0.27,0.371
{14 30 34},{4 18},0.216,0.464
{14 18 34},{4 30},0.36,0.278
{4 30 34},{14 18},0.1,1.0
{4 18 34},{14 30},0.205,0.489
{4 14 34},{18 30},0.158,0.633
{18 30},{4 14 34},0.397,0.252
{14 30},{4 18 34},0.421,0.238
{14 18},{4 30 34},0.527,0.19
{4 30},{14 18 34},0.242,0.414
{4 18},{14 30 34},0.205,0.489
{4 14},{18 30 34},0.289,0.346
{30 34},{4 14 18},0.368,0.272
{18 34},{4 14 30},0.466,0.215
{14 34},{4 18 30},0.475,0.211
{4 34},{14 18 30},0.269,0.372
{30},{4 14 18 34},0.563,0.178
{18},{4 14 30 34},0.705,0.142
{14},{4 18 30 34},0.717,0.14
{4},{14 18 30 34},0.397,0.252
{34},{4 14 18 30},0.641,0.156
{14 18 26 30},{34},0.105,1.0
{18 26 30 34},{14},0.105,1.0
{14 26 30 34},{18},0.105,1.0
{14 18 30 34},{26},0.216,0.485
{14 18 26 34},{30},0.163,0.641
{18 26 30},{14 34},0.105,1.0
{14 26 30},{18 34},0.105,1.0
{14 18 30},{26 34},0.31,0.338
{14 18 26},{30 34},0.232,0.451
{26 30 34},{14 18},0.12,0.87
{18 30 34},{14 26},0.27,0.389
{18 26 34},{14 30},0.203,0.517
{14 30 34},{18 26},0.216,0.485
{14 26 34},{18 30},0.163,0.641
{14 18 34},{26 30},0.36,0.291
{26 30},{14 18 34},0.14,0.749
{18 30},{14 26 34},0.397,0.264
{18 26},{14 30 34},0.299,0.35
{14 30},{18 26 34},0.421,0.249
{14 26},{18 30 34},0.305,0.343
{14 18},{26 30 34},0.527,0.199
{30 34},{14 18 26},0.368,0.285
{26 34},{14 18 30},0.203,0.517
{18 34},{14 26 30},0.466,0.225
{14 34},{18 26 30},0.475,0.221
{30},{14 18 26 34},0.563,0.186
{26},{14 18 30 34},0.412,0.254
{18},{14 26 30 34},0.705,0.149
